|n1|rel|n2
32|Thus , he needs to wood , when properly sealed , floats|opposed|he need not wood has this property of buoyancy
33|, for instance , knows how to form pieces of wood together so as to make a seaworthy vessel but he does not have , and has no need for , a syllogistic , causal demonstration based on the primary principles or first causes of things . Thus , he needs to know that wood , when properly sealed , floats but he need not be able to show by virtue of what principles and causes wood has this property of buoyancy .|opposed|the is concerned with what Aristotle calls the reasoned fact until he can show why a thing behaves as its does by tracing its causes back to first principles , he has no scientific knowledge of the thing
34|Thus , he needs to wood , when properly sealed , floats|Based_on|, for instance , knows how to form pieces of wood together so as to make a seaworthy vessel but he does not have , and has no need for , a syllogistic , causal demonstration based on the primary principles or first causes of things . Thus , he needs to know that wood , when properly sealed , floats but he need not be able to show by virtue of what principles and causes wood has this property of buoyancy .
35|know that|Based_on|shipbuilder
36|Thus , he needs to wood , when properly sealed , floats|Based_on|the is concerned with what Aristotle calls the reasoned fact until he can show why a thing behaves as its does by tracing its causes back to first principles , he has no scientific knowledge of the thing
37|know that|Based_on|scientist
38|he need not wood has this property of buoyancy|Based_on|, for instance , knows how to form pieces of wood together so as to make a seaworthy vessel but he does not have , and has no need for , a syllogistic , causal demonstration based on the primary principles or first causes of things . Thus , he needs to know that wood , when properly sealed , floats but he need not be able to show by virtue of what principles and causes wood has this property of buoyancy .
39|be able to show by virtue of what principles and causes|Based_on|shipbuilder
40|he need not wood has this property of buoyancy|Based_on|the is concerned with what Aristotle calls the reasoned fact until he can show why a thing behaves as its does by tracing its causes back to first principles , he has no scientific knowledge of the thing
41|be able to show by virtue of what principles and causes|Based_on|scientist
42|, for instance , knows how to form pieces of wood together so as to make a seaworthy vessel but he does not have , and has no need for , a syllogistic , causal demonstration based on the primary principles or first causes of things . Thus , he needs to know that wood , when properly sealed , floats but he need not be able to show by virtue of what principles and causes wood has this property of buoyancy .|defines|shipbuilder
43|the is concerned with what Aristotle calls the reasoned fact until he can show why a thing behaves as its does by tracing its causes back to first principles , he has no scientific knowledge of the thing|defines|scientist
44|A shipbuilder , for instance , to form pieces of wood together so as to make a seaworthy vessel|defines|knows how
45|he does not have , and has no need for ,|defines|a syllogistic , causal demonstration based on the primary principles or first causes of things
46|, for instance , knows how to form pieces of wood together so as to make a seaworthy vessel but he does not have , and has no need for , a syllogistic , causal demonstration based on the primary principles or first causes of things . Thus , he needs to know that wood , when properly sealed , floats but he need not be able to show by virtue of what principles and causes wood has this property of buoyancy .|opposed|the is concerned with what Aristotle calls the reasoned fact until he can show why a thing behaves as its does by tracing its causes back to first principles , he has no scientific knowledge of the thing
47|A shipbuilder , for instance , to form pieces of wood together so as to make a seaworthy vessel|opposed|he does not have , and has no need for ,
48|, for instance , knows how to form pieces of wood together so as to make a seaworthy vessel but he does not have , and has no need for , a syllogistic , causal demonstration based on the primary principles or first causes of things . Thus , he needs to know that wood , when properly sealed , floats but he need not be able to show by virtue of what principles and causes wood has this property of buoyancy .|Based_on|A shipbuilder , for instance , to form pieces of wood together so as to make a seaworthy vessel
49|shipbuilder|Based_on|knows how
50|, for instance , knows how to form pieces of wood together so as to make a seaworthy vessel but he does not have , and has no need for , a syllogistic , causal demonstration based on the primary principles or first causes of things . Thus , he needs to know that wood , when properly sealed , floats but he need not be able to show by virtue of what principles and causes wood has this property of buoyancy .|Based_on|he does not have , and has no need for ,
51|shipbuilder|Based_on|a syllogistic , causal demonstration based on the primary principles or first causes of things
52|the is concerned with what Aristotle calls the reasoned fact until he can show why a thing behaves as its does by tracing its causes back to first principles , he has no scientific knowledge of the thing|Based_on|A shipbuilder , for instance , to form pieces of wood together so as to make a seaworthy vessel
53|scientist|Based_on|knows how
54|the is concerned with what Aristotle calls the reasoned fact until he can show why a thing behaves as its does by tracing its causes back to first principles , he has no scientific knowledge of the thing|Based_on|he does not have , and has no need for ,
55|scientist|Based_on|a syllogistic , causal demonstration based on the primary principles or first causes of things
56|( episteme )|defines|knowledge
57|( doxa ) , reality|defines|mere opinion
58|( the sort of knowledge which the craftsman and the engineer possess )|defines|know-how
59|or demonstrative understanding ( which the scientist alone possesses )|defines|know-why
60|( episteme )|opposed|( doxa ) , reality
61|( the sort of knowledge which the craftsman and the engineer possess )|opposed|or demonstrative understanding ( which the scientist alone possesses )
62|( episteme )|Based_on|( the sort of knowledge which the craftsman and the engineer possess )
63|knowledge|Based_on|know-how
64|( episteme )|Based_on|or demonstrative understanding ( which the scientist alone possesses )
65|knowledge|Based_on|know-why
66|( doxa ) , reality|Based_on|( the sort of knowledge which the craftsman and the engineer possess )
67|mere opinion|Based_on|know-how
68|( doxa ) , reality|Based_on|or demonstrative understanding ( which the scientist alone possesses )
69|mere opinion|Based_on|know-why
70|is perfect for data-intensive use such as online movies , YouTube , video conferencing , downloading music and videos , etc . Generally , Wi-Fi has no limit on how much data you can use in a day or a month|defines|Wi-Fi
71|, on the other hand , use a proprietary frequency and a dedicated cellular operator and the services are chargeable based on weekly or monthly plans . Cellular data plans usually have daily or monthly cap on the data consumption limit|defines|Cellular networks
72|is a critical element and a crucial wireless networking technology based on the IEEE 802.11 standards . It is the Wi-Fi Alliance\\u2019s name for a wireless standard , or protocol , used for wireless communication . The Wi-Fi Alliance is a not-for-profit organization that certifies the interoperability of wireless devices to promote wireless technologies . It means any Wi-Fi enabled device can seamless communicate with another Wi-Fi enabled device wirelessly|defines|Wi-Fi
73|refers to a mobile network which is distributed over a wide area commonly referred to as cells which are linked to one base station which in turn facilitates wireless connection via a mobile phone|defines|Cellular
74|is perfect for data-intensive use such as online movies , YouTube , video conferencing , downloading music and videos , etc . Generally , Wi-Fi has no limit on how much data you can use in a day or a month|opposed|, on the other hand , use a proprietary frequency and a dedicated cellular operator and the services are chargeable based on weekly or monthly plans . Cellular data plans usually have daily or monthly cap on the data consumption limit
75|is a critical element and a crucial wireless networking technology based on the IEEE 802.11 standards . It is the Wi-Fi Alliance\\u2019s name for a wireless standard , or protocol , used for wireless communication . The Wi-Fi Alliance is a not-for-profit organization that certifies the interoperability of wireless devices to promote wireless technologies . It means any Wi-Fi enabled device can seamless communicate with another Wi-Fi enabled device wirelessly|opposed|refers to a mobile network which is distributed over a wide area commonly referred to as cells which are linked to one base station which in turn facilitates wireless connection via a mobile phone
76|is perfect for data-intensive use such as online movies , YouTube , video conferencing , downloading music and videos , etc . Generally , Wi-Fi has no limit on how much data you can use in a day or a month|Based_on|is a critical element and a crucial wireless networking technology based on the IEEE 802.11 standards . It is the Wi-Fi Alliance\\u2019s name for a wireless standard , or protocol , used for wireless communication . The Wi-Fi Alliance is a not-for-profit organization that certifies the interoperability of wireless devices to promote wireless technologies . It means any Wi-Fi enabled device can seamless communicate with another Wi-Fi enabled device wirelessly
77|Wi-Fi|Based_on|Wi-Fi
78|is perfect for data-intensive use such as online movies , YouTube , video conferencing , downloading music and videos , etc . Generally , Wi-Fi has no limit on how much data you can use in a day or a month|Based_on|refers to a mobile network which is distributed over a wide area commonly referred to as cells which are linked to one base station which in turn facilitates wireless connection via a mobile phone
79|Wi-Fi|Based_on|Cellular
80|, on the other hand , use a proprietary frequency and a dedicated cellular operator and the services are chargeable based on weekly or monthly plans . Cellular data plans usually have daily or monthly cap on the data consumption limit|Based_on|is a critical element and a crucial wireless networking technology based on the IEEE 802.11 standards . It is the Wi-Fi Alliance\\u2019s name for a wireless standard , or protocol , used for wireless communication . The Wi-Fi Alliance is a not-for-profit organization that certifies the interoperability of wireless devices to promote wireless technologies . It means any Wi-Fi enabled device can seamless communicate with another Wi-Fi enabled device wirelessly
81|Cellular networks|Based_on|Wi-Fi
82|, on the other hand , use a proprietary frequency and a dedicated cellular operator and the services are chargeable based on weekly or monthly plans . Cellular data plans usually have daily or monthly cap on the data consumption limit|Based_on|refers to a mobile network which is distributed over a wide area commonly referred to as cells which are linked to one base station which in turn facilitates wireless connection via a mobile phone
83|Cellular networks|Based_on|Cellular
84|A is the central idea on which the work is based on throughout the story , book , or movie|defines|theme
85|A is that message or the lesson that the author , developer , or maker of the work wants you to get from their work|defines|moral lesson
86|A piece of art can have several|defines|themes
87|the owner of the work can decide to stick to one derived from the different themes|defines|moral
88|A is the central idea on which the work is based on throughout the story , book , or movie|opposed|A is that message or the lesson that the author , developer , or maker of the work wants you to get from their work
89|A piece of art can have several|opposed|the owner of the work can decide to stick to one derived from the different themes
90|A is the central idea on which the work is based on throughout the story , book , or movie|Based_on|A piece of art can have several
91|theme|Based_on|themes
92|A is the central idea on which the work is based on throughout the story , book , or movie|Based_on|the owner of the work can decide to stick to one derived from the different themes
93|theme|Based_on|moral
94|A is that message or the lesson that the author , developer , or maker of the work wants you to get from their work|Based_on|A piece of art can have several
95|moral lesson|Based_on|themes
96|A is that message or the lesson that the author , developer , or maker of the work wants you to get from their work|Based_on|the owner of the work can decide to stick to one derived from the different themes
97|moral lesson|Based_on|moral
98|is the conversion of a solid into a liquid|defines|fusion
99|is the conversion of a liquid into its vapor|defines|vaporization
100|means “ symptom of inappropriate anti - diuretic hormone hypersecretion . ” The “ ADH ” or “ antidiuretic hormone ” keeps the release of water in the kidneys . Thus , it retains the water in the body . When there is too much water in the body , the sodium in the body becomes diluted . Thus , the number one manifestation is hyponatremia or a low amount of sodium circulating in the blood . If there is low sodium circulating in the body , there will be a profound effect in consciousness . Thus , there will be dizziness , headache , confusion , and comatose . Nausea and vomiting also occurs|defines|SIADH
101|, on the other hand , is n’t a common endocrine disease that manifests dehydration and hyponatremia . This is caused by brain trauma , tumors , injury , or even hematoma that ’s surrounding the brain . The manifestation is also the same as those of SIADH with dehydration , too much urination and urine output which is about 2.5 liters for 24 hours , extreme thirst , and an extreme craving for salty food|defines|Cerebral salt wasting
102|is the conversion of a solid into a liquid|opposed|is the conversion of a liquid into its vapor
103|means “ symptom of inappropriate anti - diuretic hormone hypersecretion . ” The “ ADH ” or “ antidiuretic hormone ” keeps the release of water in the kidneys . Thus , it retains the water in the body . When there is too much water in the body , the sodium in the body becomes diluted . Thus , the number one manifestation is hyponatremia or a low amount of sodium circulating in the blood . If there is low sodium circulating in the body , there will be a profound effect in consciousness . Thus , there will be dizziness , headache , confusion , and comatose . Nausea and vomiting also occurs|opposed|, on the other hand , is n’t a common endocrine disease that manifests dehydration and hyponatremia . This is caused by brain trauma , tumors , injury , or even hematoma that ’s surrounding the brain . The manifestation is also the same as those of SIADH with dehydration , too much urination and urine output which is about 2.5 liters for 24 hours , extreme thirst , and an extreme craving for salty food
104|is the conversion of a solid into a liquid|Based_on|means “ symptom of inappropriate anti - diuretic hormone hypersecretion . ” The “ ADH ” or “ antidiuretic hormone ” keeps the release of water in the kidneys . Thus , it retains the water in the body . When there is too much water in the body , the sodium in the body becomes diluted . Thus , the number one manifestation is hyponatremia or a low amount of sodium circulating in the blood . If there is low sodium circulating in the body , there will be a profound effect in consciousness . Thus , there will be dizziness , headache , confusion , and comatose . Nausea and vomiting also occurs
105|fusion|Based_on|SIADH
106|is the conversion of a solid into a liquid|Based_on|, on the other hand , is n’t a common endocrine disease that manifests dehydration and hyponatremia . This is caused by brain trauma , tumors , injury , or even hematoma that ’s surrounding the brain . The manifestation is also the same as those of SIADH with dehydration , too much urination and urine output which is about 2.5 liters for 24 hours , extreme thirst , and an extreme craving for salty food
107|fusion|Based_on|Cerebral salt wasting
108|is the conversion of a liquid into its vapor|Based_on|means “ symptom of inappropriate anti - diuretic hormone hypersecretion . ” The “ ADH ” or “ antidiuretic hormone ” keeps the release of water in the kidneys . Thus , it retains the water in the body . When there is too much water in the body , the sodium in the body becomes diluted . Thus , the number one manifestation is hyponatremia or a low amount of sodium circulating in the blood . If there is low sodium circulating in the body , there will be a profound effect in consciousness . Thus , there will be dizziness , headache , confusion , and comatose . Nausea and vomiting also occurs
109|vaporization|Based_on|SIADH
110|is the conversion of a liquid into its vapor|Based_on|, on the other hand , is n’t a common endocrine disease that manifests dehydration and hyponatremia . This is caused by brain trauma , tumors , injury , or even hematoma that ’s surrounding the brain . The manifestation is also the same as those of SIADH with dehydration , too much urination and urine output which is about 2.5 liters for 24 hours , extreme thirst , and an extreme craving for salty food
111|vaporization|Based_on|Cerebral salt wasting
112|we call the change in enthalpy during the fusion process as the heat of|defines|fusion
113|the change in enthalpy during vaporization is the heat of|defines|vaporization
114|The term has different definitions in different fields , but in physical chemistry , we use it to describe the process of melting . That is ; fusion is the conversion of a solid phase into its liquid phase|defines|fusion
115|conversion of a liquid into its solid is known as|defines|freezing or solidification
116|we call the change in enthalpy during the fusion process as the heat of|opposed|the change in enthalpy during vaporization is the heat of
117|The term has different definitions in different fields , but in physical chemistry , we use it to describe the process of melting . That is ; fusion is the conversion of a solid phase into its liquid phase|opposed|conversion of a liquid into its solid is known as
118|we call the change in enthalpy during the fusion process as the heat of|Based_on|The term has different definitions in different fields , but in physical chemistry , we use it to describe the process of melting . That is ; fusion is the conversion of a solid phase into its liquid phase
119|fusion|Based_on|fusion
120|we call the change in enthalpy during the fusion process as the heat of|Based_on|conversion of a liquid into its solid is known as
121|fusion|Based_on|freezing or solidification
122|the change in enthalpy during vaporization is the heat of|Based_on|The term has different definitions in different fields , but in physical chemistry , we use it to describe the process of melting . That is ; fusion is the conversion of a solid phase into its liquid phase
123|vaporization|Based_on|fusion
124|the change in enthalpy during vaporization is the heat of|Based_on|conversion of a liquid into its solid is known as
125|vaporization|Based_on|freezing or solidification
126|the word means being identical , without having any difference|defines|same
127|the word means having a resemblance in some aspect , without being identical|defines|similar
128|A rotates at a varying angular speed which increases when storing energy and decreases when releasing the same . It absorbs mechanical energy by increasing its angular velocity and releases the energy by decreasing the angular velocity|defines|flywheel
129|A , on the other hand , minimizes fluctuations within the mean speed which occurs due to load variation . It increases the fuel flow to keep the mean speed constant|defines|governor
130|the word means being identical , without having any difference|opposed|the word means having a resemblance in some aspect , without being identical
131|A rotates at a varying angular speed which increases when storing energy and decreases when releasing the same . It absorbs mechanical energy by increasing its angular velocity and releases the energy by decreasing the angular velocity|opposed|A , on the other hand , minimizes fluctuations within the mean speed which occurs due to load variation . It increases the fuel flow to keep the mean speed constant
132|the word means being identical , without having any difference|Based_on|A rotates at a varying angular speed which increases when storing energy and decreases when releasing the same . It absorbs mechanical energy by increasing its angular velocity and releases the energy by decreasing the angular velocity
133|same|Based_on|flywheel
134|the word means being identical , without having any difference|Based_on|A , on the other hand , minimizes fluctuations within the mean speed which occurs due to load variation . It increases the fuel flow to keep the mean speed constant
135|same|Based_on|governor
136|the word means having a resemblance in some aspect , without being identical|Based_on|A rotates at a varying angular speed which increases when storing energy and decreases when releasing the same . It absorbs mechanical energy by increasing its angular velocity and releases the energy by decreasing the angular velocity
137|similar|Based_on|flywheel
138|the word means having a resemblance in some aspect , without being identical|Based_on|A , on the other hand , minimizes fluctuations within the mean speed which occurs due to load variation . It increases the fuel flow to keep the mean speed constant
139|similar|Based_on|governor
140|decreased by about 0.5 percent in the final quarter of the previous administration as evidenced by the 2.3 percent growth in the second quarter of 2016 to only 1.8 percent in the last quarter|defines|Economic growth
141|the is charting an average economic growth of 2.9 percent and it is projected to increase at the end of 2018|defines|present administration
142|started in the throes of the recession period . Thus , one of his biggest priorities during the initial years of his term was to address the financial crisis which began in 2007|defines|Obama\\u2019s administration
143|, the economy has already largely recovered during which is evidenced by statistics on economic growth and decreased unemployment rates|defines|Trump\\u2019s administration
144|decreased by about 0.5 percent in the final quarter of the previous administration as evidenced by the 2.3 percent growth in the second quarter of 2016 to only 1.8 percent in the last quarter|opposed|the is charting an average economic growth of 2.9 percent and it is projected to increase at the end of 2018
145|started in the throes of the recession period . Thus , one of his biggest priorities during the initial years of his term was to address the financial crisis which began in 2007|opposed|, the economy has already largely recovered during which is evidenced by statistics on economic growth and decreased unemployment rates
146|decreased by about 0.5 percent in the final quarter of the previous administration as evidenced by the 2.3 percent growth in the second quarter of 2016 to only 1.8 percent in the last quarter|Based_on|started in the throes of the recession period . Thus , one of his biggest priorities during the initial years of his term was to address the financial crisis which began in 2007
147|Economic growth|Based_on|Obama\\u2019s administration
148|decreased by about 0.5 percent in the final quarter of the previous administration as evidenced by the 2.3 percent growth in the second quarter of 2016 to only 1.8 percent in the last quarter|Based_on|, the economy has already largely recovered during which is evidenced by statistics on economic growth and decreased unemployment rates
149|Economic growth|Based_on|Trump\\u2019s administration
150|the is charting an average economic growth of 2.9 percent and it is projected to increase at the end of 2018|Based_on|started in the throes of the recession period . Thus , one of his biggest priorities during the initial years of his term was to address the financial crisis which began in 2007
151|present administration|Based_on|Obama\\u2019s administration
152|the is charting an average economic growth of 2.9 percent and it is projected to increase at the end of 2018|Based_on|, the economy has already largely recovered during which is evidenced by statistics on economic growth and decreased unemployment rates
153|present administration|Based_on|Trump\\u2019s administration
154|focuses on the process or \\\\u2018means\\\\u2019|defines|Efficiency
155|focuses on the end|defines|Effectiveness
156|is concerned with the present state or the \\\\u2018status quo\\\\u2019 . Thinking about the future and adding or eliminating any resources might disturb the current state of efficiency|defines|Efficiency
157|, on the other hand , believes in meeting the end goal and therefore takes into consideration any variables that may change in the future|defines|Effectiveness
158|focuses on the process or \\\\u2018means\\\\u2019|opposed|focuses on the end
159|is concerned with the present state or the \\\\u2018status quo\\\\u2019 . Thinking about the future and adding or eliminating any resources might disturb the current state of efficiency|opposed|, on the other hand , believes in meeting the end goal and therefore takes into consideration any variables that may change in the future
160|focuses on the process or \\\\u2018means\\\\u2019|Based_on|is concerned with the present state or the \\\\u2018status quo\\\\u2019 . Thinking about the future and adding or eliminating any resources might disturb the current state of efficiency
161|Efficiency|Based_on|Efficiency
162|focuses on the process or \\\\u2018means\\\\u2019|Based_on|, on the other hand , believes in meeting the end goal and therefore takes into consideration any variables that may change in the future
163|Efficiency|Based_on|Effectiveness
164|focuses on the end|Based_on|is concerned with the present state or the \\\\u2018status quo\\\\u2019 . Thinking about the future and adding or eliminating any resources might disturb the current state of efficiency
165|Effectiveness|Based_on|Efficiency
166|focuses on the end|Based_on|, on the other hand , believes in meeting the end goal and therefore takes into consideration any variables that may change in the future
167|Effectiveness|Based_on|Effectiveness
168|The information that is made available on the is limited to what that specific network needs|defines|Extranet
169|users are mostly employees who need to communicate and access certain resources like records and databases|defines|Intranet
170|An is basically a small personalized version of the Internet . It ’s typically just a Local Area Network where Internet protocols like HTTP , FTP , and SMTP are implemented to provide a more uniform and easier environment to pass around information at work|defines|Intranet
171|An is an extension to an Intranet where other users who are not necessarily a part of the company are given limited access|defines|Extranet
172|The information that is made available on the is limited to what that specific network needs|opposed|users are mostly employees who need to communicate and access certain resources like records and databases
173|An is basically a small personalized version of the Internet . It ’s typically just a Local Area Network where Internet protocols like HTTP , FTP , and SMTP are implemented to provide a more uniform and easier environment to pass around information at work|opposed|An is an extension to an Intranet where other users who are not necessarily a part of the company are given limited access
174|The information that is made available on the is limited to what that specific network needs|Based_on|An is basically a small personalized version of the Internet . It ’s typically just a Local Area Network where Internet protocols like HTTP , FTP , and SMTP are implemented to provide a more uniform and easier environment to pass around information at work
175|Extranet|Based_on|Intranet
176|The information that is made available on the is limited to what that specific network needs|Based_on|An is an extension to an Intranet where other users who are not necessarily a part of the company are given limited access
177|Extranet|Based_on|Extranet
178|users are mostly employees who need to communicate and access certain resources like records and databases|Based_on|An is basically a small personalized version of the Internet . It ’s typically just a Local Area Network where Internet protocols like HTTP , FTP , and SMTP are implemented to provide a more uniform and easier environment to pass around information at work
179|Intranet|Based_on|Intranet
180|users are mostly employees who need to communicate and access certain resources like records and databases|Based_on|An is an extension to an Intranet where other users who are not necessarily a part of the company are given limited access
181|Intranet|Based_on|Extranet
182|food is better|defines|This
183|cooked by my mother|defines|that
184|is a term that we use to name more volatile forms of petroleum . There are two forms as light and heavy naphtha . Light naphtha contains hydrocarbon compounds having 6 or fewer carbon atoms while heavy naphtha contains hydrocarbons having 6 or more carbon atoms|defines|Naphtha
185|is a petroleum - derived fuel . It contains hydrocarbons with carbon atoms between 4 to 12 per molecule . This is the key difference between naphtha and gasoline|defines|Gasoline
186|food is better|opposed|cooked by my mother
187|is a term that we use to name more volatile forms of petroleum . There are two forms as light and heavy naphtha . Light naphtha contains hydrocarbon compounds having 6 or fewer carbon atoms while heavy naphtha contains hydrocarbons having 6 or more carbon atoms|opposed|is a petroleum - derived fuel . It contains hydrocarbons with carbon atoms between 4 to 12 per molecule . This is the key difference between naphtha and gasoline
188|food is better|Based_on|is a term that we use to name more volatile forms of petroleum . There are two forms as light and heavy naphtha . Light naphtha contains hydrocarbon compounds having 6 or fewer carbon atoms while heavy naphtha contains hydrocarbons having 6 or more carbon atoms
189|This|Based_on|Naphtha
190|food is better|Based_on|is a petroleum - derived fuel . It contains hydrocarbons with carbon atoms between 4 to 12 per molecule . This is the key difference between naphtha and gasoline
191|This|Based_on|Gasoline
192|cooked by my mother|Based_on|is a term that we use to name more volatile forms of petroleum . There are two forms as light and heavy naphtha . Light naphtha contains hydrocarbon compounds having 6 or fewer carbon atoms while heavy naphtha contains hydrocarbons having 6 or more carbon atoms
193|that|Based_on|Naphtha
194|cooked by my mother|Based_on|is a petroleum - derived fuel . It contains hydrocarbons with carbon atoms between 4 to 12 per molecule . This is the key difference between naphtha and gasoline
195|that|Based_on|Gasoline
196|usually come from animal sources|defines|Fats
197|, on the other hand is usually a purified form of the fat . These usually come from plant sources|defines|Oil
198|are commonly present in the byproducts of manufacturing industries|defines|pollutants
199|are already in the soil , water , and animal wastes|defines|contaminants
200|usually come from animal sources|opposed|, on the other hand is usually a purified form of the fat . These usually come from plant sources
201|are commonly present in the byproducts of manufacturing industries|opposed|are already in the soil , water , and animal wastes
202|usually come from animal sources|Based_on|are commonly present in the byproducts of manufacturing industries
203|Fats|Based_on|pollutants
204|usually come from animal sources|Based_on|are already in the soil , water , and animal wastes
205|Fats|Based_on|contaminants
206|, on the other hand is usually a purified form of the fat . These usually come from plant sources|Based_on|are commonly present in the byproducts of manufacturing industries
207|Oil|Based_on|pollutants
208|, on the other hand is usually a purified form of the fat . These usually come from plant sources|Based_on|are already in the soil , water , and animal wastes
209|Oil|Based_on|contaminants
210|The was first manufactured by the United States and used during World War II|defines|bazooka
211|The , on the other hand , was conceptualized by the Russians and inspired by the designs of the bazooka and the German Panzer Faust|defines|RPG
212|The stores its payload in an inner chamber by the rear end of the tube|defines|bazooka
213|the payload is at the front . The inner chamber of the RPG is used to trap exhaust pressure and propel the payload at great speed|defines|RPG\\u2019s
214|The was first manufactured by the United States and used during World War II|opposed|The , on the other hand , was conceptualized by the Russians and inspired by the designs of the bazooka and the German Panzer Faust
215|The stores its payload in an inner chamber by the rear end of the tube|opposed|the payload is at the front . The inner chamber of the RPG is used to trap exhaust pressure and propel the payload at great speed
216|The was first manufactured by the United States and used during World War II|Based_on|The stores its payload in an inner chamber by the rear end of the tube
217|bazooka|Based_on|bazooka
218|The was first manufactured by the United States and used during World War II|Based_on|the payload is at the front . The inner chamber of the RPG is used to trap exhaust pressure and propel the payload at great speed
219|bazooka|Based_on|RPG\\u2019s
220|The , on the other hand , was conceptualized by the Russians and inspired by the designs of the bazooka and the German Panzer Faust|Based_on|The stores its payload in an inner chamber by the rear end of the tube
221|RPG|Based_on|bazooka
222|The , on the other hand , was conceptualized by the Russians and inspired by the designs of the bazooka and the German Panzer Faust|Based_on|the payload is at the front . The inner chamber of the RPG is used to trap exhaust pressure and propel the payload at great speed
223|RPG|Based_on|RPG\\u2019s
224|is an office that has been gotten through force|defines|Dictatorship
225|a or crown is reign that is passed from one generation to another|defines|monarchy
226|Culturally , Rwanda has a monarchy system of monarch , the Mwami|defines|Tutsi
227|The other area that is the northwestern part is ruled by society|defines|Hutu
228|is an office that has been gotten through force|opposed|a or crown is reign that is passed from one generation to another
