,n1,rel,n20|is the quality of a statement being true or accurate|defines|Truth
137|: A reason simply refers to a cause or explanation|Based_on|: An excuse is a type of reason that specifically justifies or defends a fault
138|: An excuse is a type of reason that specifically justifies or defends a fault|Based_on|: A reason simply refers to a cause or explanation
139|: An excuse is a type of reason that specifically justifies or defends a fault|Based_on|: An excuse is a type of reason that specifically justifies or defends a fault
140|: A reason merely explains something|defines|Reason
141|: An excuse justifies the fault|defines|Excuse
142|A is a statement that provides evidence or reasons to form a conclusion ; an argument can have more than one premise|defines|premise
143|A in an argument is the main point the arguer is trying to prove|defines|conclusion
144|: A reason merely explains something|opposed|: An excuse justifies the fault
145|A is a statement that provides evidence or reasons to form a conclusion ; an argument can have more than one premise|opposed|A in an argument is the main point the arguer is trying to prove
146|: A reason merely explains something|Based_on|A is a statement that provides evidence or reasons to form a conclusion ; an argument can have more than one premise
147|: A reason merely explains something|Based_on|A in an argument is the main point the arguer is trying to prove
148|: An excuse justifies the fault|Based_on|A is a statement that provides evidence or reasons to form a conclusion ; an argument can have more than one premise
149|: An excuse justifies the fault|Based_on|A in an argument is the main point the arguer is trying to prove
150|: The main function is not to justify , but to explain|defines|Reason
151|: The main function is to justify or defend a fault|defines|Excuse
152|has special application in the subject of philosophy . Reason is the faculty or the capacity of the human mind by which it is distinguished from the intelligence of the lower animals . Hence reason includes judgment , conception , reasoning and intuition too|defines|Reason
153|has nothing to do with judgment , conception , reasoning and intuition for that matter|defines|cause
154|: The main function is not to justify , but to explain|opposed|: The main function is to justify or defend a fault
155|has special application in the subject of philosophy . Reason is the faculty or the capacity of the human mind by which it is distinguished from the intelligence of the lower animals . Hence reason includes judgment , conception , reasoning and intuition too|opposed|has nothing to do with judgment , conception , reasoning and intuition for that matter
156|: The main function is not to justify , but to explain|Based_on|has special application in the subject of philosophy . Reason is the faculty or the capacity of the human mind by which it is distinguished from the intelligence of the lower animals . Hence reason includes judgment , conception , reasoning and intuition too
157|: The main function is not to justify , but to explain|Based_on|has nothing to do with judgment , conception , reasoning and intuition for that matter
158|: The main function is to justify or defend a fault|Based_on|has special application in the subject of philosophy . Reason is the faculty or the capacity of the human mind by which it is distinguished from the intelligence of the lower animals . Hence reason includes judgment , conception , reasoning and intuition too
159|: The main function is to justify or defend a fault|Based_on|has nothing to do with judgment , conception , reasoning and intuition for that matter
160|A is the one that produces the effect . For example you can say that a typical virus is the cause of the disease of chickenpox . It is understood that the particular virus produces the effect called chickenpox . Hence anything that produces an effect is called a cause|defines|cause
161|refers to a thought or a consideration in support of an opinion . Observe the usage of the word ‘ reason ’ in the sentences given below : 1 . What is the reason for your decision ? 2 . You may give me the reason behind your suggestion . In both sentences given above the word ‘ reason ’ is used in the sense of ‘ a thought ’ in support of an opinion or a decision|defines|reason
162|A simply refers to a cause or explanation . It explains why someone did something or why something happened|defines|reason
163|An , on the other hand , is also a type of reason that specifically justifies or defends a fault|defines|excuse
164|A is the one that produces the effect . For example you can say that a typical virus is the cause of the disease of chickenpox . It is understood that the particular virus produces the effect called chickenpox . Hence anything that produces an effect is called a cause|opposed|refers to a thought or a consideration in support of an opinion . Observe the usage of the word ‘ reason ’ in the sentences given below : 1 . What is the reason for your decision ? 2 . You may give me the reason behind your suggestion . In both sentences given above the word ‘ reason ’ is used in the sense of ‘ a thought ’ in support of an opinion or a decision
165|A simply refers to a cause or explanation . It explains why someone did something or why something happened|opposed|An , on the other hand , is also a type of reason that specifically justifies or defends a fault
166|A is the one that produces the effect . For example you can say that a typical virus is the cause of the disease of chickenpox . It is understood that the particular virus produces the effect called chickenpox . Hence anything that produces an effect is called a cause|Based_on|A simply refers to a cause or explanation . It explains why someone did something or why something happened
167|A is the one that produces the effect . For example you can say that a typical virus is the cause of the disease of chickenpox . It is understood that the particular virus produces the effect called chickenpox . Hence anything that produces an effect is called a cause|Based_on|An , on the other hand , is also a type of reason that specifically justifies or defends a fault
168|refers to a thought or a consideration in support of an opinion . Observe the usage of the word ‘ reason ’ in the sentences given below : 1 . What is the reason for your decision ? 2 . You may give me the reason behind your suggestion . In both sentences given above the word ‘ reason ’ is used in the sense of ‘ a thought ’ in support of an opinion or a decision|Based_on|A simply refers to a cause or explanation . It explains why someone did something or why something happened
169|refers to a thought or a consideration in support of an opinion . Observe the usage of the word ‘ reason ’ in the sentences given below : 1 . What is the reason for your decision ? 2 . You may give me the reason behind your suggestion . In both sentences given above the word ‘ reason ’ is used in the sense of ‘ a thought ’ in support of an opinion or a decision|Based_on|An , on the other hand , is also a type of reason that specifically justifies or defends a fault
170|has special application in the subject of philosophy . Reason is the faculty or the capacity of the human mind by which it is distinguished from the intelligence of the lower animals . Hence reason includes judgment , conception , reasoning and intuition too|defines|Reason
171|has nothing to do with judgment , conception , reasoning and intuition for that matter|defines|cause
172|A is the one that produces the effect . For example you can say that a typical virus is the cause of the disease of chickenpox . It is understood that the particular virus produces the effect called chickenpox . Hence anything that produces an effect is called a cause|defines|cause
173|refers to a thought or a consideration in support of an opinion . Observe the usage of the word ‘ reason ’ in the sentences given below : 1 . What is the reason for your decision ? 2 . You may give me the reason behind your suggestion . In both sentences given above the word ‘ reason ’ is used in the sense of ‘ a thought ’ in support of an opinion or a decision|defines|reason
174|has special application in the subject of philosophy . Reason is the faculty or the capacity of the human mind by which it is distinguished from the intelligence of the lower animals . Hence reason includes judgment , conception , reasoning and intuition too|opposed|has nothing to do with judgment , conception , reasoning and intuition for that matter
175|A is the one that produces the effect . For example you can say that a typical virus is the cause of the disease of chickenpox . It is understood that the particular virus produces the effect called chickenpox . Hence anything that produces an effect is called a cause|opposed|refers to a thought or a consideration in support of an opinion . Observe the usage of the word ‘ reason ’ in the sentences given below : 1 . What is the reason for your decision ? 2 . You may give me the reason behind your suggestion . In both sentences given above the word ‘ reason ’ is used in the sense of ‘ a thought ’ in support of an opinion or a decision
176|has special application in the subject of philosophy . Reason is the faculty or the capacity of the human mind by which it is distinguished from the intelligence of the lower animals . Hence reason includes judgment , conception , reasoning and intuition too|Based_on|A is the one that produces the effect . For example you can say that a typical virus is the cause of the disease of chickenpox . It is understood that the particular virus produces the effect called chickenpox . Hence anything that produces an effect is called a cause
177|has special application in the subject of philosophy . Reason is the faculty or the capacity of the human mind by which it is distinguished from the intelligence of the lower animals . Hence reason includes judgment , conception , reasoning and intuition too|Based_on|refers to a thought or a consideration in support of an opinion . Observe the usage of the word ‘ reason ’ in the sentences given below : 1 . What is the reason for your decision ? 2 . You may give me the reason behind your suggestion . In both sentences given above the word ‘ reason ’ is used in the sense of ‘ a thought ’ in support of an opinion or a decision
178|has nothing to do with judgment , conception , reasoning and intuition for that matter|Based_on|A is the one that produces the effect . For example you can say that a typical virus is the cause of the disease of chickenpox . It is understood that the particular virus produces the effect called chickenpox . Hence anything that produces an effect is called a cause
179|has nothing to do with judgment , conception , reasoning and intuition for that matter|Based_on|refers to a thought or a consideration in support of an opinion . Observe the usage of the word ‘ reason ’ in the sentences given below : 1 . What is the reason for your decision ? 2 . You may give me the reason behind your suggestion . In both sentences given above the word ‘ reason ’ is used in the sense of ‘ a thought ’ in support of an opinion or a decision
180|means good enough or something that is sufficient for a need or requirement|defines|Adequate
181|is used in situations where you mean to say sufficient|defines|Enough
182|means good enough or something that is sufficient for a need or requirement|defines|Adequate
183|is used in situations where you mean to say sufficient|defines|Enough
184|means good enough or something that is sufficient for a need or requirement|opposed|is used in situations where you mean to say sufficient
185|means good enough or something that is sufficient for a need or requirement|opposed|is used in situations where you mean to say sufficient
186|means good enough or something that is sufficient for a need or requirement|Based_on|means good enough or something that is sufficient for a need or requirement
187|means good enough or something that is sufficient for a need or requirement|Based_on|is used in situations where you mean to say sufficient
188|is used in situations where you mean to say sufficient|Based_on|means good enough or something that is sufficient for a need or requirement
189|is used in situations where you mean to say sufficient|Based_on|is used in situations where you mean to say sufficient
190|It takes a long time for us to the in others|defines|attitude
191|we can sense the of others in a short period of time|defines|character
192|that build up good character include courage , patience , fortitude , integrity , honesty , loyalty and good habits|defines|Virtues
193|that build up bad character include falsehood , avarice , lust , dishonesty , immodesty and the like|defines|Vices
194|It takes a long time for us to the in others|opposed|we can sense the of others in a short period of time
195|that build up good character include courage , patience , fortitude , integrity , honesty , loyalty and good habits|opposed|that build up bad character include falsehood , avarice , lust , dishonesty , immodesty and the like
196|It takes a long time for us to the in others|Based_on|that build up good character include courage , patience , fortitude , integrity , honesty , loyalty and good habits
197|It takes a long time for us to the in others|Based_on|that build up bad character include falsehood , avarice , lust , dishonesty , immodesty and the like
198|we can sense the of others in a short period of time|Based_on|that build up good character include courage , patience , fortitude , integrity , honesty , loyalty and good habits
199|we can sense the of others in a short period of time|Based_on|that build up bad character include falsehood , avarice , lust , dishonesty , immodesty and the like
200|can not change in a short period of time|defines|character
201|can change in a short period of time|defines|attitude
202|that build up good character include courage , patience , fortitude , integrity , honesty , loyalty and good habits|defines|Virtues
203|that build up bad character include falsehood , avarice , lust , dishonesty , immodesty and the like|defines|Vices
204|can not change in a short period of time|opposed|can change in a short period of time
205|that build up good character include courage , patience , fortitude , integrity , honesty , loyalty and good habits|opposed|that build up bad character include falsehood , avarice , lust , dishonesty , immodesty and the like
206|can not change in a short period of time|Based_on|that build up good character include courage , patience , fortitude , integrity , honesty , loyalty and good habits
207|can not change in a short period of time|Based_on|that build up bad character include falsehood , avarice , lust , dishonesty , immodesty and the like
208|can change in a short period of time|Based_on|that build up good character include courage , patience , fortitude , integrity , honesty , loyalty and good habits
209|can change in a short period of time|Based_on|that build up bad character include falsehood , avarice , lust , dishonesty , immodesty and the like
210|is always based on reality|defines|truth
211|can be sometimes based on falsehood|defines|knowledge
212|is a philosophical theory that states that the only authentic knowledge is scientific knowledge|defines|Positivism
213|is a theory that states that the origin of all knowledge is sense experience ( visual , auditory , tactile , gustatory and olfactory sensation )|defines|empiricism
214|is always based on reality|opposed|can be sometimes based on falsehood
215|is a philosophical theory that states that the only authentic knowledge is scientific knowledge|opposed|is a theory that states that the origin of all knowledge is sense experience ( visual , auditory , tactile , gustatory and olfactory sensation )
216|is always based on reality|Based_on|is a philosophical theory that states that the only authentic knowledge is scientific knowledge
217|is always based on reality|Based_on|is a theory that states that the origin of all knowledge is sense experience ( visual , auditory , tactile , gustatory and olfactory sensation )
218|can be sometimes based on falsehood|Based_on|is a philosophical theory that states that the only authentic knowledge is scientific knowledge
219|can be sometimes based on falsehood|Based_on|is a theory that states that the origin of all knowledge is sense experience ( visual , auditory , tactile , gustatory and olfactory sensation )
220|is an existent fact|defines|Reality
221|is an established fact|defines|truth
222|is the way how a person understands something and different people may have different perceptions for the same thing|defines|Perception
223|, on the other hand , is the truth and the actual existence of something|defines|Realty
224|is an existent fact|opposed|is an established fact
225|is the way how a person understands something and different people may have different perceptions for the same thing|opposed|, on the other hand , is the truth and the actual existence of something
226|is an existent fact|Based_on|is the way how a person understands something and different people may have different perceptions for the same thing
227|is an existent fact|Based_on|, on the other hand , is the truth and the actual existence of something
228|is an established fact|Based_on|is the way how a person understands something and different people may have different perceptions for the same thing
229|is an established fact|Based_on|, on the other hand , is the truth and the actual existence of something
230|is the quality of a statement being true or accurate|defines|Truth
231|An argument is when its conclusion follows logically from the premises|defines|valid
232|a argument is valid and has true premises|defines|sound
233|an argument is invalid and/or has at least one false premises|defines|unsound
234|is the quality of a statement being true or accurate|opposed|An argument is when its conclusion follows logically from the premises
235|a argument is valid and has true premises|opposed|an argument is invalid and/or has at least one false premises
236|is the quality of a statement being true or accurate|Based_on|a argument is valid and has true premises
237|is the quality of a statement being true or accurate|Based_on|an argument is invalid and/or has at least one false premises
238|An argument is when its conclusion follows logically from the premises|Based_on|a argument is valid and has true premises
239|An argument is when its conclusion follows logically from the premises|Based_on|an argument is invalid and/or has at least one false premises
240|A is a statement that provides evidence or reasons to form a conclusion ; an argument can have more than one premise|defines|premise
241|A in an argument is the main point the arguer is trying to prove|defines|conclusion
242|The refers to the process of deriving generalizations from specific observations|defines|former
243|the refers to the process of drawing specific conclusions from general statements / observations|defines|latter
244|A is a statement that provides evidence or reasons to form a conclusion ; an argument can have more than one premise|opposed|A in an argument is the main point the arguer is trying to prove
245|The refers to the process of deriving generalizations from specific observations|opposed|the refers to the process of drawing specific conclusions from general statements / observations
246|A is a statement that provides evidence or reasons to form a conclusion ; an argument can have more than one premise|Based_on|The refers to the process of deriving generalizations from specific observations
247|A is a statement that provides evidence or reasons to form a conclusion ; an argument can have more than one premise|Based_on|the refers to the process of drawing specific conclusions from general statements / observations
248|A in an argument is the main point the arguer is trying to prove|Based_on|The refers to the process of deriving generalizations from specific observations
249|A in an argument is the main point the arguer is trying to prove|Based_on|the refers to the process of drawing specific conclusions from general statements / observations
250|is a property of premises and conclusions|defines|truth
251|is a property of arguments|defines|validity
252|In the same way is the one that does not change its nature in the present and future too . It is always of the same nature|defines|reality
253|can change its nature in due course . Many scientific truths were disproved in the past . The truth about the planetary motion was re - established later . Hence truth sometimes is bound to change|defines|truth
254|is a property of premises and conclusions|opposed|is a property of arguments
255|In the same way is the one that does not change its nature in the present and future too . It is always of the same nature|opposed|can change its nature in due course . Many scientific truths were disproved in the past . The truth about the planetary motion was re - established later . Hence truth sometimes is bound to change
256|is a property of premises and conclusions|Based_on|In the same way is the one that does not change its nature in the present and future too . It is always of the same nature
257|is a property of premises and conclusions|Based_on|can change its nature in due course . Many scientific truths were disproved in the past . The truth about the planetary motion was re - established later . Hence truth sometimes is bound to change
258|is a property of arguments|Based_on|In the same way is the one that does not change its nature in the present and future too . It is always of the same nature
259|is a property of arguments|Based_on|can change its nature in due course . Many scientific truths were disproved in the past . The truth about the planetary motion was re - established later . Hence truth sometimes is bound to change
260|refers to anything that is owned by a person or an entity|defines|property
261|refer to land and buildings on it|defines|premises
262|the is determined by various factors such as common sense , personal experience , investigation , etc .|defines|truth of a premise or a conclusion
263|when the conclusion follows logically from the premises|defines|an argument is valid
264|refers to anything that is owned by a person or an entity|opposed|refer to land and buildings on it
265|the is determined by various factors such as common sense , personal experience , investigation , etc .|opposed|when the conclusion follows logically from the premises
266|refers to anything that is owned by a person or an entity|Based_on|the is determined by various factors such as common sense , personal experience , investigation , etc .
267|refers to anything that is owned by a person or an entity|Based_on|when the conclusion follows logically from the premises
268|refer to land and buildings on it|Based_on|the is determined by various factors such as common sense , personal experience , investigation , etc .
269|refer to land and buildings on it|Based_on|when the conclusion follows logically from the premises
270|can be either tangible , intangible , movable or immovable|defines|Property
271|, which generally refers to a building with the land surrounding it , is tangible and immovable property|defines|Premises
272|is the quality of a statement being true or accurate|defines|Truth
273|An argument is when its conclusion follows logically from the premises|defines|valid
274|can be either tangible , intangible , movable or immovable|opposed|, which generally refers to a building with the land surrounding it , is tangible and immovable property
275|is the quality of a statement being true or accurate|opposed|An argument is when its conclusion follows logically from the premises
276|can be either tangible , intangible , movable or immovable|Based_on|is the quality of a statement being true or accurate
277|can be either tangible , intangible , movable or immovable|Based_on|An argument is when its conclusion follows logically from the premises
278|, which generally refers to a building with the land surrounding it , is tangible and immovable property|Based_on|is the quality of a statement being true or accurate
279|, which generally refers to a building with the land surrounding it , is tangible and immovable property|Based_on|An argument is when its conclusion follows logically from the premises
280|refers to anything that is owned by a person or an entity|defines|Property
281|refer to land and buildings and other structures on it|defines|premises
282|is a property of premises and conclusions|defines|truth
283|is a property of arguments|defines|validity
284|refers to anything that is owned by a person or an entity|opposed|refer to land and buildings and other structures on it
285|is a property of premises and conclusions|opposed|is a property of arguments
286|refers to anything that is owned by a person or an entity|Based_on|is a property of premises and conclusions
287|refers to anything that is owned by a person or an entity|Based_on|is a property of arguments
288|refer to land and buildings and other structures on it|Based_on|is a property of premises and conclusions
289|refer to land and buildings and other structures on it|Based_on|is a property of arguments
290|can be either tangible , intangible , movable or immovable while premises refers to tangible and immovable property . In real estate , property refers to the entirety of the land , buildings , structures , machinery , equipment , etc . , owned by the landowner|defines|Property
291|refers to only that portion of the property and/or components of it that are the subject of the lease / sale|defines|premises
292|can be either tangible , intangible , movable or immovable while premises refers to tangible and immovable property . In real estate , property refers to the entirety of the land , buildings , structures , machinery , equipment , etc . , owned by the landowner|defines|Property
293|refers to only that portion of the property and/or components of it that are the subject of the lease / sale|defines|premises
294|can be either tangible , intangible , movable or immovable while premises refers to tangible and immovable property . In real estate , property refers to the entirety of the land , buildings , structures , machinery , equipment , etc . , owned by the landowner|opposed|refers to only that portion of the property and/or components of it that are the subject of the lease / sale
